Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2675,-0.7935,0.309,1.038083333,0.96425,0.4265,1.623,1.515333333,1.026666667,1.503666667,0.733916667,0.623416667,0.9475,0.964583333,1.369166667,0.766083333,0.891,1.026583333,2.798916667,0.2475,1.45375,1.066833333,1.882916667,1.716833333,1.201583333,1.413916667,2.87425,1.893166667
Aruba,-0.192583333,0.1205,-0.016666667,-0.01325,-0.162545455,-0.052833333,-0.285416667,-0.061416667,0.4185,0.12275,-0.3955,0.019416667,0.011333333,-0.570583333,-0.442583333,-0.356428571,-0.006833333,0.330142857,0.394666667,0.894916667,0.6745,0.314916667,0.665583333,0.077166667,-0.05025,0.138916667,0.927916667,0.327416667,0.018416667,0.29175,0.422583333,0.7605,0.34225,0.41125,0.675666667,0.750416667,0.682833333,1.09325,0.214777778,0.148333333,0.6835,0.9498,0.870083333,0.369416667,0.557833333,0.75225,0.869916667,0.2283,1.006416667,1.140583333,0.376,0.61575,0.987666667,0.8765,1.563333333,1.0695,1.096916667,0.8605,1.268909091
Australia,0.202416667,0.072333333,-0.080916667,-0.1415,0.259583333,-0.3425,-0.053333333,-0.226333333,0.139916667,0.032166667,-0.07725,0.279583333,0.704083333,-0.362833333,0.068833333,-0.42375,0.1875,-0.021833333,0.525916667,0.8075,0.436916667,0.19525,0.544333333,-0.19975,0.288,0.327333333,0.319916667,0.885083333,0.142833333,0.571833333,0.668416667,0.182916667,0.410666667,0.286666667,0.238166667,0.561833333,0.390333333,0.959166667,0.455333333,0.190416667,0.27525,0.835166667,0.792583333,0.63275,1.180666667,0.586416667,0.85325,0.549583333,1.038083333,0.5265,0.18625,0.403666667,1.41475,1.150416667,1.06425,1.120083333,1.144416667,1.173916667,1.511583333
Austria,0.84375,-0.864833333,-0.699083333,-0.104166667,-0.7195,0.539333333,0.573916667,0.0635,-0.254333333,-0.262583333,0.164833333,-0.08225,-0.050833333,0.595916667,0.613416667,0.108416667,0.61225,-0.455666667,0.125833333,-0.617,0.268833333,0.657916667,0.89875,-0.204083333,-0.353,0.055,-0.0965,0.82175,1.092666667,1.077,0.10025,1.38225,0.664,1.981416667,0.738833333,-0.317833333,0.8395,1.111666667,1.08875,1.960833333,1.09775,1.811333333,1.471166667,0.816333333,0.529666667,1.21525,1.91825,1.701,1.48175,0.458166667,1.757333333,1.60575,1.268083333,2.41025,2.292,1.839833333,1.718583333,2.571916667,2.463333333
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.794833333,-0.918416667,0.0505,1.25825,0.667,0.420416667,1.43575,1.3145,1.04025,1.482416667,0.971666667,0.437083333,1.215583333,1.20075,1.208083333,1.11075,0.923,1.1155,2.556583333,0.44,1.572083333,1.415583333,1.612083333,1.591916667,1.29075,1.666416667,2.28975,2.062083333
Bahamas,0.119,-0.222083333,-0.153166667,0.284833333,-0.044416667,-0.250416667,-0.034583333,-0.410916667,-0.18425,-0.352166667,0.080083333,0.411833333,0.11975,0.106916667,0.445916667,-0.149833333,0.076,0.241333333,0.139083333,0.288833333,0.017,0.6045,0.335833333,0.07225,0.336333333,0.46875,0.38975,0.389583333,0.6635,0.988333333,0.855166667,0.328333333,0.425833333,0.95175,0.651,0.157166667,0.91825,1.136,0.585583333,0.293833333,0.36325,0.894333333,0.957416667,0.435,0.540916667,0.39025,0.808666667,0.738666667,0.5595,-0.11975,0.766666667,0.3645,0.71,0.662166667,1.407833333,0.99825,1.164833333,1.08375,1.463416667
Bahrain,-0.436583333,0.462583333,0.458833333,-0.587333333,0.390916667,0.663,-0.605083333,-0.098,0.535,0.1255,-0.299,-0.643916667,0.004583333,-0.142666667,-0.15125,-0.32375,0.459916667,0.136083333,0.72975,0.4005,0.646333333,-0.385416667,-0.560083333,0.0075,0.4885,0.576083333,0.819833333,0.719416667,0.01725,0.630166667,-0.278916667,-0.711,0.2015,0.77825,0.2325,0.79825,0.247666667,1.61375,1.81125,1.19175,1.565416667,1.368333333,1.3095,1.264833333,1.371,1.4445,1.324666667,1.175166667,1.399916667,2.182,1.1565,1.652,1.37575,1.996416667,2.338416667,1.8445,2.0935,2.521666667,2.20275
Bangladesh,-0.03825,-0.117083333,-0.038666667,0.108416667,-0.198833333,0.284916667,-0.176916667,-0.255666667,0.018583333,-0.060916667,-0.538,-0.002916667,0.100833333,-0.176416667,-0.068416667,-0.057083333,-0.229083333,-0.171916667,0.463083333,0.127833333,-0.255,-0.066,-0.10825,-0.187416667,0.176583333,0.100416667,0.396333333,0.42925,-0.080083333,-0.073083333,-0.111916667,-0.1575,-0.308333333,0.123833333,0.109,0.118666667,-0.237333333,0.666916667,0.78325,0.22425,0.457833333,0.452833333,0.339416667,0.403166667,0.623583333,0.89725,0.363333333,0.339166667,0.837083333,0.965333333,0.257916667,0.264583333,0.46725,0.632583333,0.858416667,1.499333333,1.190666667,0.8745,1.191833333
Barbados,0.21475,0.063833333,0.238,-0.17125,-0.138666667,-0.189416667,-0.29025,-0.282666667,0.316416667,0.113916667,-0.305583333,-0.0045,-0.144583333,-0.346083333,-0.630416667,-0.42,-0.006083333,0.230416667,0.035666667,0.353333333,0.552666667,0,0.19,-0.232583333,-0.288416667,-0.327555556,0.450583333,0.273416667,0.128,0.262363636,0.35975,0.305166667,0.404916667,0.371416667,0.45625,0.21925,0.239083333,0.96125,0.32575,0.205083333,0.52575,0.4005,0.886416667,0.6915,1.165,0.944333333,0.730583333,0.353666667,0.740416667,1.311416667,0.83475,0.758166667,0.868666667,0.705916667,1.155727273,1.423166667,0.912,0.915333333,1.310727273
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.272833333,0.159666667,0.873,1.16925,-0.220333333,0.474166667,0.680333333,1.839833333,2.035833333,1.239416667,1.772583333,0.783916667,0.973333333,1.072,1.053333333,2.055083333,2.249583333,1.331083333,1.188083333,1.671833333,0.9385,1.667,1.944916667,2.57,1.907666667,1.774166667,2.103166667,2.9815
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.581083333,1.074666667,1.565666667,1.498,0.97675,1.218666667,1.616083333,1.700166667,1.150083333,1.169083333,-0.07425,1.85475,1.034166667,0.540666667,2.341916667,1.739916667,1.468583333,1.7495,2.31,2.071
Belgium-Luxembourg,0.836,-1.027916667,-1.218666667,0.055333333,-0.553583333,0.429416667,0.5065,-0.154833333,-0.156,-0.20075,0.21075,-0.317416667,0.123333333,0.53275,0.576083333,0.634583333,0.422916667,-0.381916667,-0.403666667,-0.31225,0.057666667,0.775166667,0.788583333,0.0195,-0.656916667,-0.223416667,-0.425083333,0.912416667,1.327833333,1.328083333,0.25175,1.100583333,0.483416667,1.632666667,1.108166667,-0.545083333,1.011166667,0.953666667,1.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0.012833333,-0.255166667,-0.164583333,-0.092833333,-0.198416667,-0.443416667,-0.20125,-0.366666667,0.185583333,-0.274,-0.104833333,0.608583333,0.508833333,0.213,0.144083333,-0.144416667,0.437083333,0.277916667,0.676666667,0.625583333,0.2125,0.667916667,0.922416667,0.245833333,0.575916667,0.315083333,0.381083333,0.458333333,0.295916667,0.592416667,0.721166667,0.421333333,0.554416667,0.97,0.936916667,0.404916667,1.073916667,1.121083333,0.37,0.172166667,0.54275,0.689833333,0.825333333,0.8055,0.9005,0.632,0.82125,0.506916667,0.995833333,0.541416667,0.805583333,0.676,0.73575,0.701333333,1.474916667,1.3615,1.19425,0.941333333,1.6075
